node,in-degree,out-degree,edge-count
1959,111.0,34.0,145.0
3614,99.0,33.0,132.0
431,161.0,74.0,235.0
4808,100.0,86.0,186.0
3282,173.0,84.0,257.0
1670,326.0,1305.0,1631.0
3812,143.0,20.0,163.0
2082,212.0,35.0,247.0
1250,948.0,5794.0,6742.0
6346,369.0,228.0,597.0
4707,224.0,130.0,354.0
883,368.0,864.0,1232.0
2694,351.0,530.0,881.0
2975,429.0,494.0,923.0
5835,295.0,346.0,641.0
3207,346.0,691.0,1037.0
7151,475.0,362.0,837.0
2527,137.0,46.0,183.0
3409,270.0,76.0,346.0
3596,225.0,0.0,225.0
9054,263.0,27.0,290.0
1100,245.0,29.0,274.0
1358,144.0,7.0,151.0
1252,23.0,18.0,41.0
7035,334.0,159.0,493.0
1501,323.0,693.0,1016.0
1507,264.0,35.0,299.0
8550,195.0,51.0,246.0
1446,224.0,0.0,224.0
2748,278.0,243.0,521.0
3807,224.0,8.0,232.0
9345,277.0,69.0,346.0
3834,17.0,1.0,18.0
9347,184.0,101.0,285.0
2168,48.0,4.0,52.0
2104,101.0,63.0,164.0
2658,223.0,1.0,224.0
12009,226.0,10.0,236.0
1743,75.0,1.0,76.0
10568,6.0,1.0,7.0
7988,272.0,51.0,323.0
2607,230.0,13.0,243.0
9582,165.0,2.0,167.0
6978,232.0,16.0,248.0
8066,237.0,16.0,253.0
6539,268.0,57.0,325.0
6642,242.0,131.0,373.0
4759,435.0,1484.0,1919.0
10756,228.0,4.0,232.0
493,312.0,247.0,559.0
10687,249.0,47.0,296.0
5959,227.0,4.0,231.0
6492,110.0,17.0,127.0
6483,235.0,19.0,254.0
709,260.0,44.0,304.0
6404,86.0,9.0,95.0
7624,16.0,1.0,17.0
8785,243.0,14.0,257.0
6214,371.0,211.0,582.0
11099,2.0,7.0,9.0
944,43.0,1.0,44.0
6375,242.0,18.0,260.0
6394,228.0,5.0,233.0
7652,671.0,900.0,1571.0
3179,40.0,8.0,48.0
1876,236.0,19.0,255.0
5995,264.0,232.0,496.0
6102,442.0,1068.0,1510.0
1980,80.0,0.0,80.0
8894,91.0,13.0,104.0
8387,630.0,1234.0,1864.0
12150,159.0,25.0,184.0
6301,416.0,260.0,676.0
9009,155.0,14.0,169.0
12305,173.0,31.0,204.0
126,233.0,55.0,288.0
12511,25.0,12.0,37.0
12553,12.0,26.0,38.0
9439,193.0,190.0,383.0
565,685.0,1272.0,1957.0
10958,48.0,3.0,51.0
5288,82.0,103.0,185.0
760,157.0,92.0,249.0
12183,38.0,1.0,39.0
11961,1.0,0.0,1.0
10699,5.0,0.0,5.0
10291,49.0,54.0,103.0
2117,1032.0,981.0,2013.0
9018,1147.0,2076.0,3223.0
3793,1968.0,3679.0,5647.0
2778,10.0,21.0,31.0
540,485.0,2920.0,3405.0
3541,18.0,1.0,19.0
5105,218.0,296.0,514.0
2436,59.0,9.0,68.0
1044,77.0,33.0,110.0
7237,1.0,0.0,1.0
12358,48.0,26.0,74.0
5882,220.0,231.0,451.0
7651,519.0,823.0,1342.0
1975,76.0,19.0,95.0
9920,218.0,385.0,603.0
1665,526.0,352.0,878.0
6591,367.0,219.0,586.0
1163,487.0,316.0,803.0
6354,219.0,223.0,442.0
12325,6.0,9.0,15.0
1338,360.0,164.0,524.0
9102,341.0,384.0,725.0
5925,256.0,168.0,424.0
7162,1010.0,788.0,1798.0
12485,9.0,24.0,33.0
10336,68.0,27.0,95.0
11684,20.0,6.0,26.0
7418,164.0,43.0,207.0
9504,57.0,22.0,79.0
3338,250.0,165.0,415.0
8265,72.0,0.0,72.0
6161,397.0,1346.0,1743.0
5858,166.0,327.0,493.0
6363,123.0,68.0,191.0
6027,507.0,1006.0,1513.0
5193,249.0,141.0,390.0
6441,108.0,49.0,157.0
6574,253.0,138.0,391.0
3292,192.0,39.0,231.0
5885,94.0,26.0,120.0
9219,116.0,51.0,167.0
5542,2625.0,12764.0,15389.0
961,214.0,187.0,401.0
605,443.0,1453.0,1896.0
9194,115.0,46.0,161.0
9832,2.0,0.0,2.0
10962,215.0,230.0,445.0
6640,674.0,1133.0,1807.0
2488,2.0,6.0,8.0
2421,297.0,265.0,562.0
3527,209.0,61.0,270.0
4911,43.0,31.0,74.0
8927,96.0,93.0,189.0
10818,146.0,83.0,229.0
1035,294.0,186.0,480.0
7780,143.0,31.0,174.0
2584,191.0,240.0,431.0
37,715.0,431.0,1146.0
4215,194.0,102.0,296.0
4338,564.0,677.0,1241.0
4687,15.0,13.0,28.0
4621,337.0,198.0,535.0
2370,580.0,2026.0,2606.0
3878,1337.0,4856.0,6193.0
504,234.0,966.0,1200.0
5264,202.0,106.0,308.0
9263,132.0,27.0,159.0
8648,178.0,182.0,360.0
476,135.0,53.0,188.0
10234,12.0,0.0,12.0
581,89.0,20.0,109.0
10356,93.0,30.0,123.0
5527,538.0,1668.0,2206.0
4510,851.0,1024.0,1875.0
7142,96.0,35.0,131.0
624,156.0,125.0,281.0
649,150.0,65.0,215.0
282,84.0,27.0,111.0
2444,133.0,18.0,151.0
399,425.0,397.0,822.0
8035,222.0,199.0,421.0
3403,638.0,1950.0,2588.0
12448,3.0,5.0,8.0
11944,15.0,18.0,33.0
6059,118.0,76.0,194.0
10584,72.0,34.0,106.0
3689,349.0,1334.0,1683.0
2950,115.0,30.0,145.0
3630,168.0,63.0,231.0
3847,76.0,18.0,94.0
11806,2.0,4.0,6.0
7047,363.0,227.0,590.0
6775,112.0,16.0,128.0
8898,160.0,76.0,236.0
6298,317.0,209.0,526.0
9475,433.0,370.0,803.0
4722,119.0,137.0,256.0
3626,45.0,7.0,52.0
3997,907.0,1113.0,2020.0
1088,158.0,55.0,213.0
4094,37.0,56.0,93.0
407,117.0,725.0,842.0
510,130.0,166.0,296.0
1225,147.0,115.0,262.0
3783,99.0,65.0,164.0
1147,80.0,35.0,115.0
8623,14.0,12.0,26.0
800,253.0,104.0,357.0
4118,209.0,105.0,314.0
6094,121.0,118.0,239.0
6034,457.0,380.0,837.0
408,304.0,269.0,573.0
8246,54.0,81.0,135.0
6703,65.0,0.0,65.0
3928,587.0,2516.0,3103.0
8290,64.0,45.0,109.0
7248,146.0,91.0,237.0
8657,215.0,166.0,381.0
10126,16.0,11.0,27.0
10254,74.0,90.0,164.0
3967,60.0,39.0,99.0
3496,130.0,77.0,207.0
3919,50.0,16.0,66.0
11788,70.0,26.0,96.0
5333,244.0,109.0,353.0
5212,82.0,108.0,190.0
5155,69.0,14.0,83.0
3073,80.0,70.0,150.0
5071,67.0,14.0,81.0
4415,50.0,0.0,50.0
5526,71.0,35.0,106.0
6654,50.0,23.0,73.0
9389,70.0,30.0,100.0
6480,51.0,3.0,54.0
9215,530.0,2220.0,2750.0
8524,38.0,7.0,45.0
9985,52.0,32.0,84.0
10484,36.0,44.0,80.0
10849,34.0,3.0,37.0
7281,68.0,15.0,83.0
8938,35.0,3.0,38.0
10355,65.0,24.0,89.0
11559,53.0,30.0,83.0
11537,50.0,8.0,58.0
6695,143.0,38.0,181.0
10689,335.0,139.0,474.0
10707,20.0,4.0,24.0
9320,41.0,22.0,63.0
9017,173.0,93.0,266.0
11728,7.0,0.0,7.0
11691,8.0,0.0,8.0
4763,14.0,10.0,24.0
7727,1.0,0.0,1.0
10668,8.0,6.0,14.0
9845,14.0,0.0,14.0
1471,8.0,3.0,11.0
3857,16.0,13.0,29.0
12055,34.0,31.0,65.0
805,278.0,30.0,308.0
4016,532.0,523.0,1055.0
6380,1388.0,4630.0,6018.0
6890,7.0,6.0,13.0
1541,63.0,104.0,167.0
6746,113.0,81.0,194.0
9544,263.0,228.0,491.0
8084,430.0,315.0,745.0
7763,389.0,98.0,487.0
2131,468.0,1143.0,1611.0
7403,996.0,1555.0,2551.0
598,155.0,19.0,174.0
2503,137.0,25.0,162.0
3761,168.0,40.0,208.0
4867,234.0,132.0,366.0
2377,247.0,241.0,488.0
580,169.0,61.0,230.0
8992,761.0,660.0,1421.0
2648,193.0,91.0,284.0
3725,606.0,593.0,1199.0
3467,16.0,15.0,31.0
2140,11.0,7.0,18.0
2033,225.0,119.0,344.0
9498,351.0,269.0,620.0
1159,155.0,38.0,193.0
8139,359.0,264.0,623.0
1496,220.0,65.0,285.0
2414,216.0,155.0,371.0
767,196.0,127.0,323.0
