node,in-degree,out-degree,edge-count
10185,70,10,80
323,282,2,284
2778,27,20,47
10279,7,2,9
5668,151,15,166
385,4,0,4
4225,55,0,55
1446,15,0,15
409,79,0,79
4511,137,0,137
11684,102,41,143
7722,147,0,147
3780,53,28,81
9735,268,0,268
5443,383,0,383
9579,7,88,95
12155,46,0,46
5929,64,48,112
4878,89,0,89
1452,297,0,297
3690,1,0,1
1486,16,0,16
2201,17,0,17
975,64,0,64
10563,21,8,29
6599,23,0,23
6515,9,1,10
11070,6,0,6
10833,30,0,30
5357,7,0,7
10708,18,0,18
3054,38,0,38
11445,2,0,2
2764,77,0,77
11456,17,0,17
11147,10,0,10
10615,30,0,30
2498,69,0,69
11561,4,0,4
8398,27,0,27
6607,33,0,33
11361,22,0,22
10551,23,0,23
11666,2,0,2
11847,4,0,4
11577,3,0,3
11493,11,0,11
1310,18,0,18
9591,39,0,39
11335,4,0,4
11359,9,0,9
1608,76,0,76
11182,10,0,10
6863,32,0,32
455,79,0,79
11312,10,0,10
5100,29,0,29
7029,101,0,101
6218,136,0,136
12027,21,58,79
312,21,7491,7512
3614,87,91,178
2266,214,11,225
2034,132,53,185
3231,94,0,94
8408,2,26,28
2927,10,333,343
1005,157,0,157
12170,21,0,21
12182,22,4,26
345,506,1,507
4329,219,2,221
402,465,0,465
5722,47,0,47
1620,201,0,201
2989,198,0,198
7753,274,0,274
1398,255,3,258
7148,246,0,246
1091,1275,0,1275
544,1057,0,1057
1132,294,0,294
6792,452,0,452
7617,582,0,582
4228,874,0,874
6700,408,0,408
6168,103,0,103
1073,193,1,194
1381,1270,0,1270
6541,290,0,290
8428,191,0,191
7568,485,0,485
4481,829,0,829
10958,11,0,11
2908,823,0,823
986,1717,0,1717
8444,78,10,88
2124,14,0,14
550,36,75,111
990,173,0,173
11963,35,0,35
167,113,21,134
5614,4,2140,2144
6237,6,85,91
8506,2,0,2
4133,127,4047,4174
1359,386,0,386
1382,1711,0,1711
2546,1313,0,1313
7163,1526,0,1526
1288,1634,0,1634
2048,324,0,324
7353,1249,0,1249
781,1628,0,1628
6822,375,36,411
8737,62,35,97
5281,742,0,742
9603,836,0,836
361,815,0,815
9140,1457,0,1457
4286,69,10,79
9193,395,0,395
2789,13,0,13
5693,521,0,521
5793,337,0,337
1790,1935,0,1935
447,459,2,461
5195,1109,0,1109
4376,1377,0,1377
3004,311,0,311
2787,504,0,504
4828,422,0,422
5371,200,0,200
1234,1150,0,1150
3183,457,0,457
1685,228,101,329
3029,616,0,616
1907,70,16,86
2699,459,79,538
1445,95,68,163
1485,27,0,27
4955,339,1,340
4394,1611,0,1611
139,1242,0,1242
8926,60,5,65
7778,229,0,229
6751,371,0,371
8204,46,0,46
9953,603,0,603
9864,265,0,265
3817,4,0,4
2926,19,0,19
2553,22,0,22
2137,27,318,345
5914,12,24,36
6118,45,0,45
9439,117,88,205
5888,303,0,303
1366,342,0,342
6890,141,0,141
8874,79,0,79
6925,66,0,66
7884,187,0,187
10478,331,0,331
6384,218,0,218
9478,314,0,314
3338,60,0,60
5341,3,66,69
7971,78,0,78
7854,284,0,284
9954,100,0,100
3877,69,0,69
10400,1475,0,1475
8906,319,0,319
1038,63,33,96
9955,74,0,74
11035,128,0,128
8118,337,0,337
9978,102,0,102
9129,110,0,110
2265,99,128,227
7972,46,0,46
11201,27,0,27
10325,195,0,195
11619,13,463,476
8841,57,0,57
10603,10,8853,8863
9515,151,0,151
10857,116,0,116
3994,151,1,152
12068,34,2,36
10382,51,0,51
11287,10,0,10
2207,171,0,171
10911,49,0,49
10666,89,0,89
11990,262,0,262
12058,7,0,7
10518,38,0,38
10796,118,0,118
5695,188,0,188
7218,234,0,234
10627,29,0,29
11352,54,0,54
2180,201,4,205
2606,118,0,118
3215,2,52,54
47,325,78,403
7544,5,0,5
4360,52,8,60
4062,17,9,26
4799,3,2710,2713
6577,501,6,507
3978,273,101,374
4871,157,3,160
6243,296,53,349
3744,1472,0,1472
5851,316,5,321
1623,236,189,425
9444,102,7,109
10610,73,0,73
9427,786,0,786
3642,824,0,824
6916,1400,29,1429
6626,377,128,505
6578,448,13,461
9569,751,96,847
5663,542,2,544
6759,559,2,561
8956,317,0,317
7300,378,0,378
3692,1005,12,1017
4336,271,0,271
9681,52,0,52
8336,44,574,618
4252,186,7,193
3768,332,1,333
4488,1080,6,1086
1991,40,0,40
7889,5,479,484
3856,397,1,398
4633,8,1870,1878
3943,622,215,837
6589,209,10,219
7339,263,0,263
3401,42,17,59
4110,254,119,373
8424,287,196,483
6337,356,10,366
3017,317,0,317
3847,54,18,72
3021,814,0,814
6336,136,394,530
2262,12,151,163
6010,16,0,16
4798,47,124,171
3404,97,0,97
8060,23,0,23
2370,30,41268,41298
3842,975,0,975
5400,868,0,868
1405,1892,0,1892
2821,688,2,690
2110,796,0,796
1300,1845,0,1845
9705,1108,0,1108
2691,632,0,632
2462,342,47,389
3790,779,0,779
5212,203,2,205
5507,967,0,967
8616,1048,0,1048
11282,426,0,426
10832,593,0,593
9152,354,0,354
8011,903,0,903
11993,455,2,457
4742,957,0,957
4781,975,0,975
7237,557,0,557
7123,608,0,608
1456,1945,0,1945
11031,807,0,807
2688,644,0,644
2976,1269,701,1970
3030,1022,6,1028
6019,798,0,798
3103,1902,1,1903
3089,1106,0,1106
1737,748,0,748
4050,1705,0,1705
8620,735,0,735
7621,1008,0,1008
839,857,0,857
4069,897,2,899
1252,456,3,459
12199,130,191,321
5526,384,6,390
8570,439,0,439
2904,805,0,805
1451,478,35,513
10785,205,0,205
11869,294,0,294
6259,468,0,468
4957,624,0,624
10316,1100,0,1100
6005,691,0,691
10151,1864,0,1864
4253,617,0,617
7858,652,0,652
4917,721,0,721
8724,329,0,329
6113,555,1,556
6007,679,0,679
10149,452,0,452
9528,201,0,201
9943,91,0,91
12347,66,757,823
7979,158,0,158
5891,134,0,134
3243,401,0,401
4806,247,33,280
4778,566,0,566
7769,331,0,331
11383,87,9,96
10134,26,0,26
1346,561,0,561
10724,436,0,436
2622,625,6,631
5217,970,1,971
7178,447,0,447
4708,208,0,208
3824,189,0,189
7547,352,0,352
1487,389,0,389
3893,22,2842,2864
2428,568,0,568
2888,2483,0,2483
2157,41,147,188
11609,39,1,40
8631,575,0,575
11423,197,0,197
11391,88,0,88
5542,19,135,154
2190,42,25,67
1980,546,0,546
11592,120,0,120
2727,45,0,45
348,286,0,286
11294,38,0,38
11673,404,0,404
11837,31,0,31
2402,1095,13,1108
11118,47,0,47
11390,116,0,116
10239,157,0,157
11789,13,0,13
11307,57,0,57
890,157,0,157
8380,440,0,440
9825,140,0,140
10807,83,0,83
9489,143,0,143
11337,337,0,337
10150,49,0,49
10193,32,0,32
11706,44,0,44
11460,34,0,34
2452,170,1,171
5099,176,0,176
1462,523,0,523
1082,349,0,349
1504,7,12,19
1779,129,0,129
2132,109,0,109
9284,229,0,229
9761,440,0,440
10616,55,0,55
10018,103,0,103
2808,82,0,82
11032,54,0,54
11737,14,0,14
10393,84,0,84
6991,108,0,108
11115,59,0,59
10698,191,0,191
7181,91,0,91
180,34,0,34
10810,138,0,138
9176,97,0,97
2002,76,0,76
9095,246,0,246
10337,119,0,119
3191,50,0,50
8050,127,0,127
11564,17,0,17
11582,17,0,17
10957,54,0,54
11763,17,0,17
11694,23,0,23
11645,31,0,31
10176,125,0,125
10308,67,0,67
11382,239,0,239
11495,14,0,14
11418,19,0,19
11150,23,0,23
11695,384,0,384
10974,94,0,94
3025,211,0,211
11652,216,0,216
7515,223,32,255
6821,148,0,148
10862,326,0,326
4659,149,0,149
11747,39,0,39
11734,463,45,508
10919,294,0,294
11207,89,0,89
8545,383,0,383
11799,244,0,244
11342,43,0,43
11098,45,0,45
3787,175,0,175
5886,129,0,129
2836,103,0,103
6131,22,0,22
11743,264,0,264
1850,79,0,79
3837,55,0,55
9635,102,0,102
10495,57,0,57
7084,57,0,57
11780,59,0,59
7329,71,0,71
11356,56,0,56
9406,51,0,51
11331,569,0,569
11091,59,0,59
11729,159,0,159
9548,55,0,55
2219,159,3,162
1860,272,0,272
2372,1,4,5
8181,952,0,952
5947,50,0,50
951,471,0,471
2351,279,0,279
70,88,0,88
4223,172,0,172
1362,15,26,41
2746,80,0,80
2478,239,0,239
4532,29,120,149
4605,706,0,706
2494,405,0,405
10879,264,0,264
5938,122,0,122
2749,16,13,29
5528,32,0,32
7827,137,0,137
10594,246,0,246
2477,28,0,28
10460,14,396,410
11910,207,0,207
9105,385,0,385
4167,343,0,343
10560,244,5,249
11890,239,2,241
9523,19,112,131
11029,153,3,156
7817,215,0,215
11985,16,149,165
12094,31,0,31
7187,611,0,611
4018,522,0,522
12095,19,2,21
11953,109,0,109
12017,86,12,98
12046,192,73,265
11854,81,0,81
9166,227,0,227
11917,246,0,246
11178,39,0,39
12003,38,2,40
9060,44,0,44
8065,124,0,124
1315,22,0,22
9734,127,0,127
8968,42,0,42
10364,94,0,94
11918,10,0,10
12038,51,3,54
11471,459,0,459
3777,43,0,43
7403,46,2169,2215
7155,271,9,280
8994,142,0,142
11778,14,18,32
1475,166,113,279
3073,79,1,80
11578,90,118,208
5768,223,19,242
3217,9,40,49
5289,261,11,272
1370,3,0,3
1261,275,0,275
6992,84,0,84
11752,24,7,31
12002,107,3,110
11889,272,8,280
844,1042,0,1042
9199,60,0,60
7874,53,0,53
11205,39,0,39
11428,31,107,138
3523,16,1,17
9491,118,0,118
7864,261,0,261
2847,41,0,41
3595,157,0,157
6681,13,0,13
12044,7,0,7
3380,76,0,76
11419,85,25,110
11263,122,12,134
11093,88,0,88
11103,10,0,10
9940,83,0,83
11053,57,0,57
11527,103,0,103
11424,55,0,55
11164,348,0,348
4751,84,0,84
3199,41,0,41
2037,54,0,54
11076,83,0,83
11659,84,0,84
8643,147,0,147
11517,23,0,23
10205,43,0,43
10614,48,0,48
11057,42,0,42
11421,85,0,85
11200,185,0,185
11821,36,0,36
11632,30,0,30
11521,44,0,44
11487,65,0,65
11824,17,0,17
9994,174,0,174
11547,37,0,37
11738,13,0,13
10646,80,1,81
11646,74,0,74
11765,41,0,41
11394,103,0,103
11149,119,0,119
11144,36,0,36
4239,17,0,17
11376,126,0,126
2475,68,0,68
9353,153,1,154
9926,452,0,452
6989,59,0,59
4607,10,0,10
3801,25,10,35
6843,44,0,44
2620,3,90,93
8770,7,0,7
2753,2,55,57
2302,19,29,48
12164,13,0,13
415,68,64,132
5912,6,667,673
6269,1214,0,1214
3861,722,0,722
6901,651,0,651
7691,1464,0,1464
12212,33,0,33
12126,23,0,23
4631,262,1,263
9819,182,0,182
10298,237,18,255
2314,1519,0,1519
5478,54,158,212
8854,225,0,225
4094,169,0,169
8257,249,0,249
12495,3,274,277
6376,222,0,222
4811,17,13572,13589
8951,383,1,384
9613,361,25,386
7828,793,0,793
7197,119,0,119
4624,236,0,236
9307,697,0,697
6977,1423,0,1423
8025,180,0,180
10421,840,0,840
6065,310,19,329
5568,316,1,317
765,346,22,368
9044,392,0,392
1065,466,0,466
2113,367,0,367
8520,37,0,37
5736,15,250,265
6862,102,160,262
1309,136,2,138
1845,900,1,901
6931,1247,1,1248
6492,336,3,339
5913,137,0,137
10418,213,28,241
4264,278,0,278
8947,192,0,192
5657,36,0,36
733,244,0,244
9875,55,0,55
4341,110,91,201
80,612,0,612
6703,396,6,402
9053,415,94,509
7271,14,137,151
4490,1173,6,1179
7136,407,46,453
6225,151,0,151
386,214,19,233
6729,221,151,372
4999,319,9,328
12180,12,0,12
6954,80,0,80
6045,48,19,67
10947,87,3,90
4504,8,63,71
5633,2,606,608
5414,493,97,590
8859,156,0,156
2285,332,0,332
10114,121,0,121
9215,33,73,106
8824,185,0,185
5334,23,48,71
5841,41,6247,6288
4911,136,17,153
922,27,88,115
10735,68,0,68
12393,18,0,18
11064,22,9,31
10565,17,0,17
37,7,5561,5568
845,187,66,253
479,9,116,125
10926,219,0,219
412,162,1,163
5823,4,83,87
1243,232,0,232
787,235,138,373
5021,3,58,61
4357,66,132,198
1139,69,0,69
6029,10,27,37
999,231,0,231
6537,3,99,102
1386,26,0,26
9361,189,21,210
4669,58,0,58
1920,23,79,102
7288,10,57,67
9254,97,0,97
8821,11,611,622
1804,18,13343,13361
870,2218,0,2218
7665,878,0,878
1552,1767,0,1767
3988,500,14,514
930,447,77,524
7934,162,0,162
5808,140,3,143
8337,1744,0,1744
449,878,0,878
897,787,54,841
2457,287,136,423
978,58,29,87
994,389,0,389
1145,66,5,71
1967,102,0,102
618,729,277,1006
1455,208,0,208
7373,601,0,601
2348,198,0,198
5867,181,0,181
1871,224,0,224
1606,16,33,49
1097,207,0,207
1716,548,0,548
1088,6,163,169
741,351,5,356
10105,347,2,349
1527,90,20,110
9481,8,128,136
2216,26,9396,9422
767,6,86,92
1180,103,4,107
963,384,0,384
1022,578,0,578
580,5,79,84
8143,334,0,334
3854,216,14,230
378,515,66,581
45,12,370,382
3960,314,23,337
2331,2,104,106
4657,9,1,10
984,57,0,57
7348,7,0,7
2284,114,0,114
358,39,5663,5702
316,864,0,864
2033,4,33,37
1496,6,124,130
375,109,14,123
1909,14,124,138
5511,13,354,367
4370,164,5360,5524
8233,284,17,301
3906,79,25,104
9355,235,10,245
400,974,4,978
1222,219,105,324
9599,124,0,124
3712,453,37,490
9575,86,0,86
1041,128,0,128
3033,237,4,241
4564,88,0,88
1500,133,0,133
2140,65,5,70
6044,273,0,273
1096,30,40,70
5521,9,0,9
5630,25,0,25
1034,156,0,156
2885,9,2162,2171
1665,358,402,760
1229,121,18,139
2543,28,1788,1816
2155,2,1,3
1400,1,50,51
704,427,9,436
1768,20,49,69
700,371,9,380
9917,112,0,112
4224,341,0,341
29,106,78,184
198,342,0,342
9656,93,2,95
2209,48,31,79
8761,122,0,122
232,596,1,597
326,220,17,237
3885,19,608,627
10812,672,0,672
11526,218,0,218
663,6,209,215
5862,24,0,24
10061,259,249,508
10928,327,1,328
9582,581,2,583
199,149,0,149
1084,1055,0,1055
431,603,13,616
2035,85,8,93
1902,51,3,54
945,27,3938,3965
2179,254,11,265
3306,4,0,4
1217,24,147,171
8880,30,0,30
1784,379,0,379
5402,30,0,30
6880,54,389,443
7782,93,0,93
4165,382,0,382
126,9,101,110
790,2,0,2
384,128,0,128
2912,96,595,691
118,74,99,173
2891,44,5717,5761
3372,13,86,99
6236,63,27,90
213,144,0,144
3974,57,338,395
3880,136,0,136
7467,17,18,35
965,2,113,115
1930,34,0,34
1722,16,38,54
3638,34,0,34
31,16,309,325
9851,10,114,124
675,66,4,70
1791,3,1247,1250
3835,3224,0,3224
684,749,0,749
6650,1048,0,1048
9704,306,0,306
8140,626,0,626
5264,9,13558,13567
9018,12,19417,19429
10948,220,0,220
9870,1268,0,1268
8345,1028,0,1028
7951,1182,0,1182
5719,837,0,837
10699,706,0,706
