node,message_in,message_out,trade_in,trade_out
12533,7,7,5,0
10947,6,7,43,44
11894,14,8,9,7
12095,30,45,11,2
10560,0,0,4,2
12490,3,6,1,0
11697,1,2,0,0
12573,0,0,3,2
12235,44,53,92,5
12409,0,1,0,0
10074,8,9,3,3
11715,8,16,25,25
8244,3,0,0,0
12108,3,3,0,0
11363,3,0,5,7
193,39,41,7,4
12273,2,7,4,1
10785,6,8,4,23
11921,4,2,0,0
11993,2,4,2,0
12141,6,3,0,0
12128,5,7,0,0
3744,0,0,2,0
4050,6,3,1,1
12328,5,5,0,0
7855,0,0,0,22
2636,10,19,46,47
11664,1,0,0,0
11426,3,4,37,45
3497,1,0,1,0
3620,0,0,0,3
12642,0,0,16,1
12133,3,2,0,0
11769,4,4,7,7
12011,1,1,4,2
12383,0,1,2,1
11470,0,0,1,0
11502,2,1,8,8
1082,7,4,0,0
11584,6,3,0,0
11795,5,3,1,7
10913,13,9,5,5
1346,5,8,2,18
7467,26,36,54,52
11950,3,4,31,30
4461,5,3,2,11
12582,0,1,4,0
12521,1,0,0,0
12386,1,0,0,0
4871,11,4,11,4
12064,1,1,1,0
11745,0,0,0,3
10692,2,0,0,0
11419,0,1,2,2
12140,1,1,2,0
7187,1,0,0,0
8506,1,0,0,0
12330,20,18,0,0
3693,0,0,1,0
958,1,0,0,0
11562,11,14,3,2
12069,0,0,1,15
11400,0,0,0,2
5116,1,0,0,4
12208,0,0,1,0
9408,27,36,51,58
4166,6,6,5,5
669,3,4,3,3
12352,7,12,12,0
12316,1,0,0,0
816,1,0,0,0
10342,1,2,0,0
12434,3,3,0,0
10908,70,87,10,12
8905,9,14,7,1
12206,1,1,1,0
10134,4,2,163,163
6659,1,2,0,0
12658,1,1,4,0
12355,0,3,0,0
3994,1,1,1,1
11107,0,0,2,0
12002,1,0,0,0
2973,0,0,39,56
5651,0,0,0,4
12535,1,0,0,0
7830,3,1,54,54
12387,2,2,0,0
12396,2,1,0,0
12529,0,0,2,0
2315,5,5,7,7
12018,0,0,0,7
7356,0,1,28,6
12377,0,1,3,0
10989,0,0,1,0
1686,44,53,0,7
6681,0,0,0,9
6761,2,0,0,0
8647,2,5,2,5
12411,14,27,14,3
10927,14,10,4,13
11900,4,4,69,128
12426,1,2,0,0
7376,1,1,1,0
12390,4,8,0,0
12467,1,1,0,0
2789,0,0,0,114
10177,0,0,0,3
12479,7,6,0,0
11740,1,0,0,0
11953,1,0,0,0
4925,0,0,2,0
4795,0,0,10,10
5509,1,0,1,0
12086,0,1,1,0
12446,2,7,1,8
12548,1,2,0,0
10646,8,13,113,112
11029,1,1,0,1
12712,0,0,2,0
11524,19,24,5,9
2295,1,3,11,11
1677,2,0,0,0
11009,0,1,2,4
11581,1,5,3,3
7670,2,0,0,0
10945,4,5,8,0
12254,0,2,0,0
12723,0,1,0,0
10754,1,0,0,2
10311,0,4,17,27
9864,0,0,0,2
12012,0,0,21,19
10904,1,1,0,0
12704,0,1,0,0
12294,3,6,1,0
12007,0,1,0,0
4329,7,18,5,21
4349,1,0,0,0
12347,79,65,6,16
12304,0,1,0,0
3790,5,4,14,14
5522,5,2,1,1
8719,9,4,3,0
3488,1,7,0,0
12697,0,1,0,0
12092,0,0,1,1
11874,1,0,0,0
12077,1,0,0,0
12247,1,1,0,0
9870,1,0,0,0
12276,0,0,1,1
9199,1,0,11,19
10670,1,0,19,19
9361,70,98,15,21
1471,8,3,15,32
10705,0,0,0,1
8829,4,5,0,0
8096,3,2,7,0
11274,0,0,0,4
6989,0,0,2,10
2674,28,39,2,1
10625,0,0,0,1
7373,1,0,0,0
5759,7,7,1,9
6626,391,480,183,184
12145,0,0,5,5
10232,14,12,3,0
9742,2,0,0,0
9093,1,0,5,5
11102,0,1,0,0
12452,4,7,7,7
12109,6,3,1,0
5938,1,1,0,0
718,0,0,14,0
12334,2,4,4,4
12343,12,14,0,0
12354,3,2,9,9
12353,2,0,2,0
11636,16,23,13,7
12258,1,1,0,0
12082,2,3,0,0
11892,11,9,82,91
9792,0,0,2,0
956,1,0,1,0
1604,0,0,0,150
12227,3,3,0,0
12161,0,0,1,0
10948,1,2,3,0
4034,0,0,0,6
12587,1,2,0,0
12550,0,2,8,15
2546,2,0,1,0
2970,3,3,0,0
10682,0,0,0,4
6965,18,0,0,0
11486,3,3,46,10
10463,21,28,21,15
12462,2,1,0,0
4937,1,0,0,0
12029,1,0,0,0
12448,3,5,0,0
12696,2,1,0,0
5091,0,1,0,0
11961,1,0,0,28
12083,3,4,0,0
11392,1,0,1,0
12051,1,0,0,0
6381,1,0,0,0
12073,5,9,55,8
4286,5,5,0,0
12405,7,7,8,8
12690,3,2,0,3
12146,14,24,18,10
1288,2,0,0,1
12216,1,1,0,0
2124,6,5,9,11
11860,0,1,2,2
12442,1,0,0,0
1963,0,3,1,1
7687,1,0,0,1
12159,4,0,10,0
2449,18,18,0,101
12336,9,27,0,0
12306,19,23,7,2
9782,22,25,9,11
11652,1,0,0,0
12282,4,12,11,1
6843,2,0,60,79
1091,1,0,0,0
12044,0,2,20,76
3642,3,0,1,0
12313,7,7,0,0
9458,1,0,0,0
11661,0,0,0,19
10563,0,2,3,0
11751,0,1,0,1
