node,betweenness,PageRank
3233,0.0027162533678646707,0.001054411742910754
6311,0.001194858020243383,0.001105125447910695
6880,0.0002659815196835643,0.0004020810474498126
4000,0.002088304030775168,0.0011288592100225981
3401,0.008030611274235672,0.0017721671900276358
5288,1.8006110419060753e-05,0.0001953698013186002
3621,0.004193506386069951,0.002136873936185772
6371,0.00029593728054289075,0.0005905397636810629
5511,0.0019118348714205575,0.00039120381116958556
6301,0.0001950222943835198,0.00020042605739334758
8084,0.0005540103209663457,0.00023927464048408145
5361,0.0003074600302814721,0.0002781062249532144
7539,0.0015279333491650953,0.0007896380204446187
10061,0.004974250946741801,0.0009809998956588455
8992,0.0035901535179188844,0.0011393816306246784
7934,0.00015631518323342702,0.00011719364603674531
4258,0.0004075989152686812,0.001415523717275495
3738,0.002443268914707026,0.0018165237024742582
774,0.007321397148648951,0.0024838764421362043
7214,0.00022223973939733996,0.0002665348788611621
2083,0.00044438285199613657,0.00042311851002790034
1942,0.0019412138129530744,0.000497069416626528
1446,0.00016795744038350396,0.0002472217364094963
3868,1.867205646023944e-05,0.00015455744110929898
6102,0.001504837477248225,0.00107151639160156
7648,0.0001984201600233312,0.00044341909696808625
10798,3.8844815187109414e-05,0.00010378902183479144
6795,0.0010794514539075224,0.0004675020853685628
9589,0.00190676213595009,0.0009871120207751928
6758,0.011406218342631743,0.002035954820190216
6690,0.0012005205606572186,0.0005679267180905016
2200,0.004155404740371391,0.0012802402762516541
9523,0.0001127413394711415,0.00013124386637411323
1324,0.0009977349142721741,0.0007582136977488908
9450,0.002583459446638586,0.002845546488024205
9483,0.0023536284527220347,0.0006656561198385279
10071,0.00012728446112062427,0.00015208060441226573
6451,0.0005008605215105416,0.0002577396665168884
1147,8.42433238187023e-05,0.00027430470866703327
6971,5.305377153739082e-05,0.0002871237309994857
2514,0.006959152056230542,0.002363278535430753
3088,1.549974733034451e-05,0.00011999922472995111
1909,0.00100276594589054,0.0005405155893974051
10650,0.0005778632937866821,0.0014468637916075068
8647,0.00034279449524156157,7.286709286313788e-05
1317,0.0037059898493145833,0.0007024154418502603
4622,0.006330511382658673,0.004530797589218848
2850,0.0007166242221871838,0.0002529049730254872
1376,0.0025530554626974544,0.0008212636918264358
